Datetime (UTC),Timeslot,Region,Value
2025-08-27T00:00Z,1, North Scotland,0
2025-08-27T00:30Z,2, North Scotland,0
2025-08-27T01:00Z,3, North Scotland,1
2025-08-27T01:30Z,4, North Scotland,0
2025-08-27T02:00Z,5, North Scotland,0
2025-08-27T02:30Z,6, North Scotland,2
2025-08-27T03:00Z,7, North Scotland,0
2025-08-27T03:30Z,8, North Scotland,0
2025-08-27T04:00Z,9, North Scotland,0
2025-08-27T04:30Z,10, North Scotland,0
2025-08-27T05:00Z,11, North Scotland,0
2025-08-27T05:30Z,12, North Scotland,0
2025-08-27T06:00Z,13, North Scotland,0
2025-08-27T06:30Z,14, North Scotland,0
2025-08-27T07:00Z,15, North Scotland,0
2025-08-27T07:30Z,16, North Scotland,0
2025-08-27T08:00Z,17, North Scotland,0
2025-08-27T08:30Z,18, North Scotland,0
2025-08-27T09:00Z,19, North Scotland,0
2025-08-27T09:30Z,20, North Scotland,0
2025-08-27T10:00Z,21, North Scotland,0
2025-08-27T10:30Z,22, North Scotland,0
2025-08-27T11:00Z,23, North Scotland,0
2025-08-27T11:30Z,24, North Scotland,0
2025-08-27T12:00Z,25, North Scotland,0
2025-08-27T12:30Z,26, North Scotland,0
2025-08-27T13:00Z,27, North Scotland,0
2025-08-27T13:30Z,28, North Scotland,0
2025-08-27T14:00Z,29, North Scotland,0
2025-08-27T14:30Z,30, North Scotland,0
2025-08-27T15:00Z,31, North Scotland,0
2025-08-27T15:30Z,32, North Scotland,0
2025-08-27T16:00Z,33, North Scotland,0
2025-08-27T16:30Z,34, North Scotland,0
2025-08-27T17:00Z,35, North Scotland,0
2025-08-27T17:30Z,36, North Scotland,0
2025-08-27T18:00Z,37, North Scotland,0
2025-08-27T18:30Z,38, North Scotland,0
2025-08-27T19:00Z,39, North Scotland,0
2025-08-27T19:30Z,40, North Scotland,0
2025-08-27T20:00Z,41, North Scotland,0
2025-08-27T20:30Z,42, North Scotland,0
2025-08-27T21:00Z,43, North Scotland,0
2025-08-27T21:30Z,44, North Scotland,0
2025-08-27T22:00Z,45, North Scotland,0
2025-08-27T22:30Z,46, North Scotland,0
2025-08-27T23:00Z,47, North Scotland,0
2025-08-27T23:30Z,48, North Scotland,0
2025-08-28T00:00Z,49, North Scotland,0
2025-08-28T00:30Z,50, North Scotland,0
2025-08-28T01:00Z,51, North Scotland,0
2025-08-28T01:30Z,52, North Scotland,0
2025-08-28T02:00Z,53, North Scotland,0
2025-08-28T02:30Z,54, North Scotland,0
2025-08-28T03:00Z,55, North Scotland,0
2025-08-28T03:30Z,56, North Scotland,0
2025-08-28T04:00Z,57, North Scotland,0
2025-08-28T04:30Z,58, North Scotland,0
2025-08-28T05:00Z,59, North Scotland,0
2025-08-28T05:30Z,60, North Scotland,0
2025-08-28T06:00Z,61, North Scotland,0
2025-08-28T06:30Z,62, North Scotland,0
2025-08-28T07:00Z,63, North Scotland,0
2025-08-28T07:30Z,64, North Scotland,0
2025-08-28T08:00Z,65, North Scotland,0
2025-08-28T08:30Z,66, North Scotland,0
2025-08-28T09:00Z,67, North Scotland,0
2025-08-28T09:30Z,68, North Scotland,0
2025-08-28T10:00Z,69, North Scotland,0
2025-08-28T10:30Z,70, North Scotland,0
2025-08-28T11:00Z,71, North Scotland,0
2025-08-28T11:30Z,72, North Scotland,0
2025-08-28T12:00Z,73, North Scotland,0
2025-08-28T12:30Z,74, North Scotland,0
2025-08-28T13:00Z,75, North Scotland,0
2025-08-28T13:30Z,76, North Scotland,0
2025-08-28T14:00Z,77, North Scotland,0
2025-08-28T14:30Z,78, North Scotland,0
2025-08-28T15:00Z,79, North Scotland,0
2025-08-28T15:30Z,80, North Scotland,0
2025-08-28T16:00Z,81, North Scotland,0
2025-08-28T16:30Z,82, North Scotland,0
2025-08-28T17:00Z,83, North Scotland,0
2025-08-28T17:30Z,84, North Scotland,0
2025-08-28T18:00Z,85, North Scotland,0
2025-08-28T18:30Z,86, North Scotland,0
2025-08-28T19:00Z,87, North Scotland,0
2025-08-28T19:30Z,88, North Scotland,0
2025-08-28T20:00Z,89, North Scotland,0
2025-08-28T20:30Z,90, North Scotland,0
2025-08-28T21:00Z,91, North Scotland,0
2025-08-28T21:30Z,92, North Scotland,0
2025-08-28T22:00Z,93, North Scotland,0
2025-08-28T22:30Z,94, North Scotland,0
2025-08-28T23:00Z,95, North Scotland,0
2025-08-28T23:30Z,96, North Scotland,0
2025-08-29T00:00Z,97, North Scotland,0
2025-08-27T00:00Z,1,South Scotland,16
2025-08-27T00:30Z,2,South Scotland,22
2025-08-27T01:00Z,3,South Scotland,26
2025-08-27T01:30Z,4,South Scotland,22
2025-08-27T02:00Z,5,South Scotland,19
2025-08-27T02:30Z,6,South Scotland,23
2025-08-27T03:00Z,7,South Scotland,20
2025-08-27T03:30Z,8,South Scotland,14
2025-08-27T04:00Z,9,South Scotland,10
2025-08-27T04:30Z,10,South Scotland,8
2025-08-27T05:00Z,11,South Scotland,8
2025-08-27T05:30Z,12,South Scotland,7
2025-08-27T06:00Z,13,South Scotland,6
2025-08-27T06:30Z,14,South Scotland,6
2025-08-27T07:00Z,15,South Scotland,7
2025-08-27T07:30Z,16,South Scotland,9
2025-08-27T08:00Z,17,South Scotland,6
2025-08-27T08:30Z,18,South Scotland,5
2025-08-27T09:00Z,19,South Scotland,5
2025-08-27T09:30Z,20,South Scotland,5
2025-08-27T10:00Z,21,South Scotland,4
2025-08-27T10:30Z,22,South Scotland,4
2025-08-27T11:00Z,23,South Scotland,4
2025-08-27T11:30Z,24,South Scotland,4
2025-08-27T12:00Z,25,South Scotland,4
2025-08-27T12:30Z,26,South Scotland,5
2025-08-27T13:00Z,27,South Scotland,5
2025-08-27T13:30Z,28,South Scotland,4
2025-08-27T14:00Z,29,South Scotland,5
2025-08-27T14:30Z,30,South Scotland,6
2025-08-27T15:00Z,31,South Scotland,6
2025-08-27T15:30Z,32,South Scotland,5
2025-08-27T16:00Z,33,South Scotland,5
2025-08-27T16:30Z,34,South Scotland,4
2025-08-27T17:00Z,35,South Scotland,4
2025-08-27T17:30Z,36,South Scotland,4
2025-08-27T18:00Z,37,South Scotland,5
2025-08-27T18:30Z,38,South Scotland,6
2025-08-27T19:00Z,39,South Scotland,7
2025-08-27T19:30Z,40,South Scotland,7
2025-08-27T20:00Z,41,South Scotland,9
2025-08-27T20:30Z,42,South Scotland,11
2025-08-27T21:00Z,43,South Scotland,10
2025-08-27T21:30Z,44,South Scotland,10
2025-08-27T22:00Z,45,South Scotland,11
2025-08-27T22:30Z,46,South Scotland,9
2025-08-27T23:00Z,47,South Scotland,9
2025-08-27T23:30Z,48,South Scotland,9
2025-08-28T00:00Z,49,South Scotland,4
2025-08-28T00:30Z,50,South Scotland,5
2025-08-28T01:00Z,51,South Scotland,5
2025-08-28T01:30Z,52,South Scotland,5
2025-08-28T02:00Z,53,South Scotland,6
2025-08-28T02:30Z,54,South Scotland,6
2025-08-28T03:00Z,55,South Scotland,7
2025-08-28T03:30Z,56,South Scotland,7
2025-08-28T04:00Z,57,South Scotland,7
2025-08-28T04:30Z,58,South Scotland,7
2025-08-28T05:00Z,59,South Scotland,6
2025-08-28T05:30Z,60,South Scotland,4
2025-08-28T06:00Z,61,South Scotland,4
2025-08-28T06:30Z,62,South Scotland,4
2025-08-28T07:00Z,63,South Scotland,3
2025-08-28T07:30Z,64,South Scotland,3
2025-08-28T08:00Z,65,South Scotland,3
2025-08-28T08:30Z,66,South Scotland,2
2025-08-28T09:00Z,67,South Scotland,2
2025-08-28T09:30Z,68,South Scotland,2
2025-08-28T10:00Z,69,South Scotland,2
2025-08-28T10:30Z,70,South Scotland,2
2025-08-28T11:00Z,71,South Scotland,2
2025-08-28T11:30Z,72,South Scotland,2
2025-08-28T12:00Z,73,South Scotland,2
2025-08-28T12:30Z,74,South Scotland,2
2025-08-28T13:00Z,75,South Scotland,2
2025-08-28T13:30Z,76,South Scotland,2
2025-08-28T14:00Z,77,South Scotland,2
2025-08-28T14:30Z,78,South Scotland,2
2025-08-28T15:00Z,79,South Scotland,2
2025-08-28T15:30Z,80,South Scotland,2
2025-08-28T16:00Z,81,South Scotland,1
2025-08-28T16:30Z,82,South Scotland,2
2025-08-28T17:00Z,83,South Scotland,2
2025-08-28T17:30Z,84,South Scotland,2
2025-08-28T18:00Z,85,South Scotland,2
2025-08-28T18:30Z,86,South Scotland,2
2025-08-28T19:00Z,87,South Scotland,2
2025-08-28T19:30Z,88,South Scotland,2
2025-08-28T20:00Z,89,South Scotland,2
2025-08-28T20:30Z,90,South Scotland,2
2025-08-28T21:00Z,91,South Scotland,2
2025-08-28T21:30Z,92,South Scotland,2
2025-08-28T22:00Z,93,South Scotland,2
2025-08-28T22:30Z,94,South Scotland,2
2025-08-28T23:00Z,95,South Scotland,2
2025-08-28T23:30Z,96,South Scotland,2
2025-08-29T00:00Z,97,South Scotland,2
2025-08-27T00:00Z,1, North West England,41
2025-08-27T00:30Z,2, North West England,44
2025-08-27T01:00Z,3, North West England,48
2025-08-27T01:30Z,4, North West England,47
2025-08-27T02:00Z,5, North West England,54
2025-08-27T02:30Z,6, North West England,62
2025-08-27T03:00Z,7, North West England,63
2025-08-27T03:30Z,8, North West England,54
2025-08-27T04:00Z,9, North West England,52
2025-08-27T04:30Z,10, North West England,46
2025-08-27T05:00Z,11, North West England,40
2025-08-27T05:30Z,12, North West England,31
2025-08-27T06:00Z,13, North West England,23
2025-08-27T06:30Z,14, North West England,24
2025-08-27T07:00Z,15, North West England,41
2025-08-27T07:30Z,16, North West England,42
2025-08-27T08:00Z,17, North West England,33
2025-08-27T08:30Z,18, North West England,31
2025-08-27T09:00Z,19, North West England,26
2025-08-27T09:30Z,20, North West England,20
2025-08-27T10:00Z,21, North West England,17
2025-08-27T10:30Z,22, North West England,15
2025-08-27T11:00Z,23, North West England,16
2025-08-27T11:30Z,24, North West England,12
2025-08-27T12:00Z,25, North West England,13
2025-08-27T12:30Z,26, North West England,14
2025-08-27T13:00Z,27, North West England,12
2025-08-27T13:30Z,28, North West England,9
2025-08-27T14:00Z,29, North West England,11
2025-08-27T14:30Z,30, North West England,18
2025-08-27T15:00Z,31, North West England,23
2025-08-27T15:30Z,32, North West England,29
2025-08-27T16:00Z,33, North West England,33
2025-08-27T16:30Z,34, North West England,34
2025-08-27T17:00Z,35, North West England,32
2025-08-27T17:30Z,36, North West England,31
2025-08-27T18:00Z,37, North West England,27
2025-08-27T18:30Z,38, North West England,29
2025-08-27T19:00Z,39, North West England,28
2025-08-27T19:30Z,40, North West England,26
2025-08-27T20:00Z,41, North West England,22
2025-08-27T20:30Z,42, North West England,27
2025-08-27T21:00Z,43, North West England,30
2025-08-27T21:30Z,44, North West England,33
2025-08-27T22:00Z,45, North West England,21
2025-08-27T22:30Z,46, North West England,15
2025-08-27T23:00Z,47, North West England,16
2025-08-27T23:30Z,48, North West England,18
2025-08-28T00:00Z,49, North West England,22
2025-08-28T00:30Z,50, North West England,35
2025-08-28T01:00Z,51, North West England,26
2025-08-28T01:30Z,52, North West England,28
2025-08-28T02:00Z,53, North West England,32
2025-08-28T02:30Z,54, North West England,31
2025-08-28T03:00Z,55, North West England,30
2025-08-28T03:30Z,56, North West England,26
2025-08-28T04:00Z,57, North West England,24
2025-08-28T04:30Z,58, North West England,23
2025-08-28T05:00Z,59, North West England,30
2025-08-28T05:30Z,60, North West England,26
2025-08-28T06:00Z,61, North West England,24
2025-08-28T06:30Z,62, North West England,27
2025-08-28T07:00Z,63, North West England,24
2025-08-28T07:30Z,64, North West England,25
2025-08-28T08:00Z,65, North West England,30
2025-08-28T08:30Z,66, North West England,33
2025-08-28T09:00Z,67, North West England,34
2025-08-28T09:30Z,68, North West England,37
2025-08-28T10:00Z,69, North West England,28
2025-08-28T10:30Z,70, North West England,21
2025-08-28T11:00Z,71, North West England,20
2025-08-28T11:30Z,72, North West England,19
2025-08-28T12:00Z,73, North West England,12
2025-08-28T12:30Z,74, North West England,12
2025-08-28T13:00Z,75, North West England,20
2025-08-28T13:30Z,76, North West England,22
2025-08-28T14:00Z,77, North West England,19
2025-08-28T14:30Z,78, North West England,21
2025-08-28T15:00Z,79, North West England,26
2025-08-28T15:30Z,80, North West England,23
2025-08-28T16:00Z,81, North West England,29
2025-08-28T16:30Z,82, North West England,29
2025-08-28T17:00Z,83, North West England,28
2025-08-28T17:30Z,84, North West England,26
2025-08-28T18:00Z,85, North West England,25
2025-08-28T18:30Z,86, North West England,19
2025-08-28T19:00Z,87, North West England,15
2025-08-28T19:30Z,88, North West England,15
2025-08-28T20:00Z,89, North West England,15
2025-08-28T20:30Z,90, North West England,18
2025-08-28T21:00Z,91, North West England,22
2025-08-28T21:30Z,92, North West England,20
2025-08-28T22:00Z,93, North West England,14
2025-08-28T22:30Z,94, North West England,14
2025-08-28T23:00Z,95, North West England,16
2025-08-28T23:30Z,96, North West England,18
2025-08-29T00:00Z,97, North West England,23
2025-08-27T00:00Z,1,  North East England,159
2025-08-27T00:30Z,2,  North East England,156
2025-08-27T01:00Z,3,  North East England,151
2025-08-27T01:30Z,4,  North East England,156
2025-08-27T02:00Z,5,  North East England,165
2025-08-27T02:30Z,6,  North East England,164
2025-08-27T03:00Z,7,  North East England,163
2025-08-27T03:30Z,8,  North East England,158
2025-08-27T04:00Z,9,  North East England,158
2025-08-27T04:30Z,10,  North East England,149
2025-08-27T05:00Z,11,  North East England,141
2025-08-27T05:30Z,12,  North East England,136
2025-08-27T06:00Z,13,  North East England,133
2025-08-27T06:30Z,14,  North East England,131
2025-08-27T07:00Z,15,  North East England,143
2025-08-27T07:30Z,16,  North East England,130
2025-08-27T08:00Z,17,  North East England,116
2025-08-27T08:30Z,18,  North East England,106
2025-08-27T09:00Z,19,  North East England,92
2025-08-27T09:30Z,20,  North East England,82
2025-08-27T10:00Z,21,  North East England,73
2025-08-27T10:30Z,22,  North East England,61
2025-08-27T11:00Z,23,  North East England,50
2025-08-27T11:30Z,24,  North East England,48
2025-08-27T12:00Z,25,  North East England,48
2025-08-27T12:30Z,26,  North East England,49
2025-08-27T13:00Z,27,  North East England,48
2025-08-27T13:30Z,28,  North East England,44
2025-08-27T14:00Z,29,  North East England,49
2025-08-27T14:30Z,30,  North East England,55
2025-08-27T15:00Z,31,  North East England,56
2025-08-27T15:30Z,32,  North East England,59
2025-08-27T16:00Z,33,  North East England,69
2025-08-27T16:30Z,34,  North East England,70
2025-08-27T17:00Z,35,  North East England,67
2025-08-27T17:30Z,36,  North East England,70
2025-08-27T18:00Z,37,  North East England,59
2025-08-27T18:30Z,38,  North East England,62
2025-08-27T19:00Z,39,  North East England,63
2025-08-27T19:30Z,40,  North East England,69
2025-08-27T20:00Z,41,  North East England,70
2025-08-27T20:30Z,42,  North East England,81
2025-08-27T21:00Z,43,  North East England,79
2025-08-27T21:30Z,44,  North East England,72
2025-08-27T22:00Z,45,  North East England,68
2025-08-27T22:30Z,46,  North East England,65
2025-08-27T23:00Z,47,  North East England,67
2025-08-27T23:30Z,48,  North East England,63
2025-08-28T00:00Z,49,  North East England,70
2025-08-28T00:30Z,50,  North East England,101
2025-08-28T01:00Z,51,  North East England,82
2025-08-28T01:30Z,52,  North East England,82
2025-08-28T02:00Z,53,  North East England,81
2025-08-28T02:30Z,54,  North East England,88
2025-08-28T03:00Z,55,  North East England,94
2025-08-28T03:30Z,56,  North East England,87
2025-08-28T04:00Z,57,  North East England,75
2025-08-28T04:30Z,58,  North East England,71
2025-08-28T05:00Z,59,  North East England,85
2025-08-28T05:30Z,60,  North East England,79
2025-08-28T06:00Z,61,  North East England,79
2025-08-28T06:30Z,62,  North East England,78
2025-08-28T07:00Z,63,  North East England,70
2025-08-28T07:30Z,64,  North East England,75
2025-08-28T08:00Z,65,  North East England,81
2025-08-28T08:30Z,66,  North East England,79
2025-08-28T09:00Z,67,  North East England,74
2025-08-28T09:30Z,68,  North East England,73
2025-08-28T10:00Z,69,  North East England,56
2025-08-28T10:30Z,70,  North East England,54
2025-08-28T11:00Z,71,  North East England,56
2025-08-28T11:30Z,72,  North East England,51
2025-08-28T12:00Z,73,  North East England,42
2025-08-28T12:30Z,74,  North East England,45
2025-08-28T13:00Z,75,  North East England,57
2025-08-28T13:30Z,76,  North East England,60
2025-08-28T14:00Z,77,  North East England,64
2025-08-28T14:30Z,78,  North East England,65
2025-08-28T15:00Z,79,  North East England,70
2025-08-28T15:30Z,80,  North East England,64
2025-08-28T16:00Z,81,  North East England,57
2025-08-28T16:30Z,82,  North East England,64
2025-08-28T17:00Z,83,  North East England,71
2025-08-28T17:30Z,84,  North East England,72
2025-08-28T18:00Z,85,  North East England,70
2025-08-28T18:30Z,86,  North East England,69
2025-08-28T19:00Z,87,  North East England,67
2025-08-28T19:30Z,88,  North East England,67
2025-08-28T20:00Z,89,  North East England,70
2025-08-28T20:30Z,90,  North East England,72
2025-08-28T21:00Z,91,  North East England,76
2025-08-28T21:30Z,92,  North East England,72
2025-08-28T22:00Z,93,  North East England,59
2025-08-28T22:30Z,94,  North East England,60
2025-08-28T23:00Z,95,  North East England,63
2025-08-28T23:30Z,96,  North East England,65
2025-08-29T00:00Z,97,  North East England,65
2025-08-27T00:00Z,1, Yorkshire,215
2025-08-27T00:30Z,2, Yorkshire,208
2025-08-27T01:00Z,3, Yorkshire,196
2025-08-27T01:30Z,4, Yorkshire,204
2025-08-27T02:00Z,5, Yorkshire,215
2025-08-27T02:30Z,6, Yorkshire,221
2025-08-27T03:00Z,7, Yorkshire,216
2025-08-27T03:30Z,8, Yorkshire,219
2025-08-27T04:00Z,9, Yorkshire,225
2025-08-27T04:30Z,10, Yorkshire,222
2025-08-27T05:00Z,11, Yorkshire,225
2025-08-27T05:30Z,12, Yorkshire,217
2025-08-27T06:00Z,13, Yorkshire,208
2025-08-27T06:30Z,14, Yorkshire,204
2025-08-27T07:00Z,15, Yorkshire,196
2025-08-27T07:30Z,16, Yorkshire,181
2025-08-27T08:00Z,17, Yorkshire,166
2025-08-27T08:30Z,18, Yorkshire,157
2025-08-27T09:00Z,19, Yorkshire,147
2025-08-27T09:30Z,20, Yorkshire,138
2025-08-27T10:00Z,21, Yorkshire,141
2025-08-27T10:30Z,22, Yorkshire,131
2025-08-27T11:00Z,23, Yorkshire,131
2025-08-27T11:30Z,24, Yorkshire,124
2025-08-27T12:00Z,25, Yorkshire,128
2025-08-27T12:30Z,26, Yorkshire,128
2025-08-27T13:00Z,27, Yorkshire,127
2025-08-27T13:30Z,28, Yorkshire,116
2025-08-27T14:00Z,29, Yorkshire,113
2025-08-27T14:30Z,30, Yorkshire,117
2025-08-27T15:00Z,31, Yorkshire,119
2025-08-27T15:30Z,32, Yorkshire,127
2025-08-27T16:00Z,33, Yorkshire,151
2025-08-27T16:30Z,34, Yorkshire,159
2025-08-27T17:00Z,35, Yorkshire,167
2025-08-27T17:30Z,36, Yorkshire,183
2025-08-27T18:00Z,37, Yorkshire,194
2025-08-27T18:30Z,38, Yorkshire,203
2025-08-27T19:00Z,39, Yorkshire,210
2025-08-27T19:30Z,40, Yorkshire,202
2025-08-27T20:00Z,41, Yorkshire,202
2025-08-27T20:30Z,42, Yorkshire,195
2025-08-27T21:00Z,43, Yorkshire,182
2025-08-27T21:30Z,44, Yorkshire,172
2025-08-27T22:00Z,45, Yorkshire,155
2025-08-27T22:30Z,46, Yorkshire,173
2025-08-27T23:00Z,47, Yorkshire,178
2025-08-27T23:30Z,48, Yorkshire,186
2025-08-28T00:00Z,49, Yorkshire,186
2025-08-28T00:30Z,50, Yorkshire,192
2025-08-28T01:00Z,51, Yorkshire,196
2025-08-28T01:30Z,52, Yorkshire,193
2025-08-28T02:00Z,53, Yorkshire,196
2025-08-28T02:30Z,54, Yorkshire,194
2025-08-28T03:00Z,55, Yorkshire,195
2025-08-28T03:30Z,56, Yorkshire,196
2025-08-28T04:00Z,57, Yorkshire,201
2025-08-28T04:30Z,58, Yorkshire,209
2025-08-28T05:00Z,59, Yorkshire,212
2025-08-28T05:30Z,60, Yorkshire,209
2025-08-28T06:00Z,61, Yorkshire,208
2025-08-28T06:30Z,62, Yorkshire,209
2025-08-28T07:00Z,63, Yorkshire,196
